Rank	Train Score	Test Score	Best Features
14	0.8452049042660397	0.8413110293747166	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__NasemsoRegion_              ']
15	0.8466829022505878	0.8446364689877564	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__USCensusDivision_                  ', 'cat__eVitals_19_8801023']
16	0.8466409136714813	0.845442636166675	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__NasemsoRegion_              ', 'cat__eVitals_19_8801023', 'cat__USCensusDivision_                  ']
17	0.8460530735639906	0.8453670579936514	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__USCensusRegion_         ', 'cat__eVitals_19_8801023', 'cat__NasemsoRegion_              ', 'cat__eVitals_31_8801019']
18	0.846430970775949	0.8460976469995465	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__USCensusDivision_                  ', 'cat__eVitals_19_8801023', 'cat__USCensusDivision_                  ', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003']
19	0.8468676519986563	0.8463999596916411	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__NasemsoRegion_              ', 'cat__eVitals_19_8801023', 'cat__eSituation_07_General/Global', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable']
20	0.84708599261001	0.8459968761021817	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__NasemsoRegion_              ', 'cat__eVitals_19_8801023', 'cat__USCensusRegion_         ', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable', 'cat__eVitals_31_Not Applicable']
21	0.8490678535438361	0.8477855595304076	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__NasemsoRegion_              ', 'cat__eVitals_19_8801023', 'cat__USCensusDivision_                  ', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable', 'cat__eVitals_31_Not Applicable', 'cat__eSituation_07_Not Recorded']
22	0.849378569029224	0.8482138358442082	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__NasemsoRegion_              ', 'cat__eVitals_19_8801023', 'cat__eSituation_07_General/Global', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable', 'cat__eVitals_31_Not Applicable', 'cat__eSituation_07_Not Recorded', 'num__eVitals_18']
23	0.8492274101444407	0.8484405703632791	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__USCensusRegion_         ', 'cat__eVitals_19_8801023', 'cat__USCensusRegion_         ', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable', 'cat__eVitals_31_Not Applicable', 'cat__eSituation_07_Not Recorded', 'num__eVitals_12', 'cat__eVitals_21_Confused (>2 Years); Cries but is consolable, inappropriate interactions']
24	0.8504366812227074	0.8496750138559984	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__NasemsoRegion_              ', 'cat__eVitals_19_8801023', 'cat__NasemsoRegion_              ', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable', 'cat__eVitals_31_Not Applicable', 'cat__eSituation_07_Not Recorded', 'cat__eVitals_19_Incomprehensible sounds (>2 Years); Inconsolable, agitated', 'num__eVitals_18', 'cat__eScene_06_Single']
25	0.8492861941551898	0.8480122940494785	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__USCensusRegion_         ', 'cat__eVitals_19_8801023', 'cat__USCensusDivision_                  ', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable', 'cat__eVitals_31_Not Applicable', 'cat__eSituation_07_Not Recorded', 'num__eVitals_12', 'cat__eSituation_08_Not Recorded', 'cat__eVitals_21_Confused (>2 Years); Cries but is consolable, inappropriate interactions', 'cat__NasemsoRegion_Western Plains']
26	0.8506382264024186	0.8504559883105759	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__USCensusDivision_                  ', 'cat__eVitals_19_8801023', 'cat__USCensusDivision_                  ', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable', 'cat__eVitals_31_Not Applicable', 'cat__eSituation_07_Not Recorded', 'num__eVitals_12', 'cat__eSituation_08_Not Recorded', 'cat__eVitals_19_Incomprehensible sounds (>2 Years); Inconsolable, agitated', 'cat__NasemsoRegion_Western Plains', 'cat__eDisposition_16_Air Medical-Fixed Wing']
27	0.8521918038293584	0.8498765556507281	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__NasemsoRegion_              ', 'cat__eVitals_19_8801023', 'cat__NasemsoRegion_              ', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable', 'cat__eVitals_31_Not Applicable', 'cat__eSituation_07_Not Recorded', 'cat__eVitals_19_Incomprehensible sounds (>2 Years); Inconsolable, agitated', 'cat__eVitals_27_8801023', 'cat__eSituation_08_Not Recorded', 'cat__NasemsoRegion_Western Plains', 'cat__eResponse_23_Emergent (Immediate Response)', 'cat__eDisposition_16_Air Medical-Fixed Wing']
28	0.8555256970104131	0.8539073915453217	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__USCensusRegion_         ', 'cat__eVitals_19_8801023', 'cat__USCensusDivision_                  ', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable', 'cat__eVitals_31_Not Applicable', 'cat__eSituation_07_Not Recorded', 'num__eVitals_12', 'cat__eVitals_21_Confused (>2 Years); Cries but is consolable, inappropriate interactions', 'cat__eSituation_08_Not Recorded', 'cat__NasemsoRegion_Western Plains', 'cat__ePatient_16_Years', 'cat__eDisposition_16_Air Medical-Fixed Wing', 'cat__ePatient_13_Male']
29	0.8547195162915687	0.8525469844308964	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__USCensusDivision_                  ', 'cat__eVitals_19_8801023', 'cat__USCensusRegion_         ', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable', 'cat__eVitals_31_Not Applicable', 'cat__eSituation_07_Not Recorded', 'cat__eVitals_19_Incomprehensible sounds (>2 Years); Inconsolable, agitated', 'num__eVitals_18', 'cat__eSituation_08_Not Recorded', 'cat__NasemsoRegion_Western Plains', 'cat__ePatient_16_Years', 'cat__eDisposition_16_Air Medical-Fixed Wing', 'cat__ePatient_16_Years', 'cat__eResponse_07_2207003   ']
30	0.8558196170641585	0.855015871416335	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__USCensusDivision_                  ', 'cat__eVitals_19_8801023', 'cat__USCensusRegion_         ', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable', 'cat__eVitals_31_Not Applicable', 'cat__eSituation_07_Not Recorded', 'cat__eVitals_19_Incomprehensible sounds (>2 Years); Inconsolable, agitated', 'cat__eVitals_27_8801023', 'cat__eSituation_08_Not Recorded', 'cat__NasemsoRegion_Western Plains', 'cat__ePatient_16_Years', 'cat__eDisposition_16_Air Medical-Fixed Wing', 'cat__ePatient_16_Years', 'cat__eResponse_07_2207003   ', 'cat__eOther_05_9923001.0']
31	0.8569113201209271	0.8553181841084295	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__USCensusDivision_                  ', 'cat__eVitals_19_8801023', 'cat__USCensusRegion_         ', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable', 'cat__eVitals_31_Not Applicable', 'cat__eSituation_07_Not Recorded', 'cat__eVitals_19_Incomprehensible sounds (>2 Years); Inconsolable, agitated', 'cat__eVitals_27_8801023', 'cat__eSituation_08_Not Recorded', 'cat__eDisposition_16_Air Medical-Fixed Wing', 'cat__ePatient_16_Years', 'cat__eDisposition_16_Air Medical-Fixed Wing', 'cat__eResponse_23_Emergent (Immediate Response)', 'cat__ePatient_16_Years', 'cat__eOther_05_9923001.0', 'cat__eProtocol_02_3602003.0']
32	0.8575663419549883	0.8556960749735476	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__USCensusDivision_                  ', 'cat__eVitals_19_8801023', 'cat__USCensusRegion_         ', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable', 'cat__eVitals_31_Not Applicable', 'cat__eSituation_07_Not Recorded', 'cat__eVitals_19_Incomprehensible sounds (>2 Years); Inconsolable, agitated', 'num__eVitals_18', 'cat__eSituation_08_Not Recorded', 'cat__NasemsoRegion_Western Plains', 'cat__ePatient_16_Years', 'cat__eDisposition_16_Air Medical-Fixed Wing', 'cat__ePatient_16_Years', 'cat__eResponse_23_Emergent (Immediate Response)', 'cat__ePatient_13_Male', 'cat__eProtocol_02_3602003.0', 'cat__eResponse_08_None/No Delay']
33	0.8576839099764864	0.8551670277623822	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__NasemsoRegion_              ', 'cat__eVitals_19_8801023', 'cat__USCensusRegion_         ', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable', 'cat__eVitals_31_Not Applicable', 'cat__eSituation_07_Not Recorded', 'cat__eVitals_19_Incomprehensible sounds (>2 Years); Inconsolable, agitated', 'num__eVitals_18', 'cat__eSituation_08_Not Recorded', 'cat__NasemsoRegion_Western Plains', 'cat__ePatient_16_Years', 'cat__eDisposition_16_Air Medical-Fixed Wing', 'cat__ePatient_16_Years', 'cat__eResponse_23_Emergent (Immediate Response)', 'cat__eProtocol_02_3602003.0', 'cat__eProtocol_02_3602003.0', 'cat__eResponse_08_Not Recorded', 'cat__eOther_05_9923001.0']
34	0.859514612025529	0.8571068675366554	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__NasemsoRegion_              ', 'cat__eVitals_19_8801023', 'cat__USCensusRegion_         ', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable', 'cat__eVitals_31_Not Applicable', 'cat__eSituation_07_Not Recorded', 'cat__eVitals_19_Incomprehensible sounds (>2 Years); Inconsolable, agitated', 'cat__eVitals_27_8801023', 'cat__eSituation_08_Not Recorded', 'cat__NasemsoRegion_Western Plains', 'cat__eResponse_15_ALS-Paramedic', 'cat__eDisposition_16_Air Medical-Fixed Wing', 'cat__ePatient_16_Years', 'cat__eVitals_02_9923001', 'cat__eProtocol_02_3602003.0', 'cat__eProtocol_02_3602003.0', 'cat__eResponse_08_None/No Delay', 'cat__eOther_05_9923001.0', 'cat__eInjury_04_Not Recorded']
35	0.857247228753779	0.8553433768327707	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__USCensusRegion_Midwest  ', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable', 'cat__NasemsoRegion_              ', 'cat__eVitals_19_8801023', 'cat__USCensusDivision_                  ', 'cat__eVitals_31_8801019', 'cat__eArrest_05_9923003', 'cat__eProcedures_02_Not Applicable', 'cat__eVitals_31_Not Applicable', 'cat__eSituation_07_Not Recorded', 'cat__eVitals_19_Incomprehensible sounds (>2 Years); Inconsolable, agitated', 'num__eVitals_18', 'cat__eSituation_08_Not Recorded', 'cat__NasemsoRegion_Western Plains', 'cat__ePatient_16_Years', 'cat__eDisposition_16_Air Medical-Fixed Wing', 'cat__ePatient_16_Years', 'cat__eResponse_23_Emergent (Immediate Response)', 'cat__eOther_05_9923001.0', 'cat__eProtocol_02_3602003.0', 'cat__eInjury_04_Not Recorded', 'cat__eResponse_08_None/No Delay', 'cat__eOther_05_9923001.0', 'cat__eVitals_02_9923001']
