File,Variable,Variable Name,Variable Description,Visualized for EDA ,Comments,Variable Grouping
FACTPCRVITAL_CA,eVitals.21,Glasgow Coma Score-Motor,The patient's Glasgow Coma Score Motor response.,,,Vitals
FACTPCRVITAL_CA,eVitals.26,Level of Responsiveness (AVPU),The patient's highest level of responsiveness.,,,Vitals
FACTPCRVITAL_CA,eVitals.27,,,,,
FACTPCRVITAL_CA,eVitals.29,Stroke Scale Score,The findings or results of the Stroke Scale Type (eVitals.30) used to assess the patient exhibiting stroke-like symptoms.,,,Vitals
FACTPCRVITAL_CA,eVitals.30,Stroke Scale Type,The type of stroke scale used.,,,Vitals
FACTPCRVITAL_CA,eVitals.31,Reperfusion Checklist,The results of the patient's Reperfusion Checklist for potential Thrombolysis use.,,,Vitals
ComputedElements_CA,USCensusRegion,Census Region,Where the event occurred,,,
ComputedElements_CA,USCensusDivision,Census Division,Where the event occurred,,Not part of original Nemsis dataset,Geographic
ComputedElements_CA,NasemsoRegion,Region Name,"Region where the event occurred (south, east, great lakes, etc)",,Not part of original Nemsis dataset,Geographic
ComputedElements_CA,Urbanicity,Urbanicity,"Categorical variable for the location of the event: rural, urban, wilderness",Boxplot,Not part of original Nemsis dataset,Geographic
ComputedElements_CA,ageinyear,Age in Years,Computed age of patient in years,,Not part of original Nemsis dataset,Patient Demographics
ComputedElements_CA,EMSDispatchCenterTimeSec,EMS Dispatch Center Time,Will need to ask stakeholder,,Not part of original Nemsis dataset,Time
ComputedElements_CA,EMSChuteTimeMin,EMS Chute Time,Time from EMS dispatch to EMS starting to respond to a call,,Not part of original Nemsis dataset,Time
ComputedElements_CA,EMSSystemResponseTimeMin,EMS System Response Time,Will need to ask stakeholder,,Not part of original Nemsis dataset,Time
ComputedElements_CA,EMSSceneResponseTimeMin,EMS Scene Response Time,Will need to ask stakeholder,,Not part of original Nemsis dataset,Time
ComputedElements_CA,EMSSceneTimeMin,EMS Scene Time,Will need to ask stakeholder,,Not part of original Nemsis dataset,Time
ComputedElements_CA,EMSSceneToPatientTimeMin,EMS Scene ti Patient Time,Will need to ask stakeholder,,Not part of original Nemsis dataset,Time
ComputedElements_CA,EMSTransportTimeMin,EMS Transport Time,Will need to ask stakeholder,,Not part of original Nemsis dataset,Time
ComputedElements_CA,EMSTotalCallTimeMin,EMS Total Call Time,Will need to ask stakeholder,,Not part of original Nemsis dataset,Time
